pose,image file (all .jpeg)
airplane arms,
airplane pose,
anjaneyasana,
anjaneyasana with hands in prayer,
baddha konasana,
bear curl,
bicycles,
bird of paradise,
boat,
bound prasarita,
bow,
bridge,
cactus arms,
camel,
cat cows,catcows
cat/cow lunges,catcowlunge
chair,chair
chair pose,
chair twist,
chaturanga,chaturanga
childs pose,
cobra,
cobra waves,
crane,
crescent,crescent
crescent lunge,
crescent twist,
crescent with airplane arms,
crow,
dolphin,
dolphin pose,
downdog,downdog
drinking bird,
eagle,
eagle arms,
easy seat,
extended side angle,
fallen triangle,
figure 4,
flip dog,
forearm plank,forearmplank
forearm side plank,
forward fold,forwardfold
full locust,
gate pose,
goddess,
gomukhasana,
half boat,
half bow,
half moon,
half splits,
half splits with twist,
hand to foot,
handstand,
happy baby,
headstand,
hero's pose,
high plank,
hip dips,
horizon lunge,
horizon lunge/rainbow,
humble warrior,
janu sirsasana,
kneel,
lean back,
lizard,
locust,
low boat,
low lunge,
low lunge twist,
malasana,
malasana twist,
pidgeon,
pincha mayurasana,
plank,
prasarita,
prasarita twist,
puppy pose,
pyramid,
rainbow,
reaching crescent,
reclined crow,
reclined figure 4,
reverse crescent twist,
reverse plank,
reverse triangle,
reverse warior 2,
reverse warrior 2,
revolved crescent,
revolved half moon,
revolved pyramid,
revolved triangle,
runner's lunge,
seated figure 4,
seated forward fold,forwardfold
seated lateral stretch,seatedlateral
seated torso circles,seatedcircles
seated twist,
shiva squat,
side plank,
simple twist,
single leg raise,
skandasana,
sphinx,
spinal balance,
spinal balance crunches,
splits,
standing figure 4,
standing forward fold,standingfold
standing leg raise,standinglegraise
standing splits,
straighten leg,
sun a,sunA
sun b,sunB
supine twist,
tabletop,tabletop
tadasana,tadasana
thirds down core exercise,
thread the needle,
three-legged dog,
three-legged dolphin,
tree,
triangle,
twist,
twisted chair,
vinyasa,
warrior 1,
warrior 2,
warrior 3,w3
wheel,
wrist stretch,
ujjayi breathing,ujjayi
start in childs pose,childspose
savasana,savasana
