pose,class
airplane arms,standing
airplane pose,standing
anjaneyasana,standing
anjaneyasana with hands in prayer,standing
baddha konasana,warming
baddha konasana,cooling
bear curl,warming
bicycles,warming
bicycles,cooling
bird of paradise,standing
boat,warming
boat,cooling
boat,standing
bound prasarita,standing
bow,standing
bridge,standing
cactus arms,standing
camel,standing
cat cows,warming
cat/cow lunges,standing
chair,standing
chair pose,standing
chair twist,standing
chaturanga,standing
childs pose,warming
childs pose,cooling
childs pose,standing
cobra,warming
cobra,standing
cobra waves,warming
crane,standing
crescent,standing
crescent lunge,standing
crescent twist,standing
crescent with airplane arms,standing
crow,standing
dolphin,standing
dolphin pose,standing
downdog,warming
downdog,standing
drinking bird,standing
eagle,standing
eagle arms,standing
easy seat,warming
easy seat,cooling
extended side angle,standing
fallen triangle,standing
figure 4,standing
flip dog,standing
forearm plank,warming
forearm side plank,warming
forearm plank,standing
forearm side plank,standing
forearm plank,cooling
forearm side plank,cooling
forward fold,warming
forward fold,cooling
forward fold,standing
full locust,standing
gate pose,warming
gate pose,standing
goddess,standing
gomukhasana,standing
gomukhasana,cooling
half boat,warming
half bow,warming
half boat,standing
half bow,standing
half moon,standing
half splits,standing
half splits with twist,standing
hand to foot,standing
handstand,standing
happy baby,warming
happy baby,cooling
headstand,standing
hero's pose,warming
hero's pose,cooling
high plank,warming
high plank,standing
hip dips,standing
horizon lunge,standing
horizon lunge/rainbow,standing
humble warrior,standing
janu sirsasana,warming
janu sirsasana,cooling
kneel,warming
lean back,standing
lizard,standing
locust,standing
low boat,warming
low boat,cooling
low boat,standing
low lunge,warming
low lunge,standing
low lunge twist,standing
malasana,standing
malasana twist,standing
pidgeon,cooling
pincha mayurasana,standing
plank,standing
prasarita,standing
prasarita twist,standing
puppy pose,warming
puppy pose,standing
pyramid,standing
rainbow,standing
reaching crescent,standing
reclined crow,warming
reclined crow,standing
reclined figure 4,warming
reclined figure 4,cooling
reverse crescent twist,standing
reverse plank,cooling
reverse triangle,standing
reverse warior 2,standing
reverse warrior 2,standing
revolved crescent,standing
revolved half moon,standing
revolved pyramid,standing
revolved triangle,standing
runner's lunge,standing
seated figure 4,cooling
seated forward fold,cooling
seated lateral stretch,warming
seated lateral stretch,cooling
seated torso circles,warming
seated torso circles,cooling
seated twist,warming
seated twist,cooling
shiva squat,standing
side plank,standing
simple twist,standing
single leg raise,standing
skandasana,standing
sphinx,warming
sphinx,standing
spinal balance,warming
spinal balance crunches,warming
splits,standing
standing figure 4,standing
standing forward fold,standing
standing leg raise,standing
standing splits,standing
straighten leg,standing
sun a,standing
sun b,standing
supine twist,warming
supine twist,cooling
tabletop,warming
tabletop,standing
tadasana,warming
tadasana,standing
thirds down core exercise,warming
thirds down core exercise,standing
thread the needle,warming
three-legged dog,standing
three-legged dolphin,standing
tree,standing
triangle,standing
twist,standing
twisted chair,standing
vinyasa,standing
warrior 1,standing
warrior 2,standing
warrior 3,standing
wheel,standing
wrist stretch,warming
